LUMINOSIDADE %;TEMP AR Celsius;GASES %;UMIDADE %;LATITUDE;LONGITUDE;TEMP AGUA Celsius;OXI AGUA mg/L;SOM
97.56;37.69;7.92;35.00;-12.9089908;-38.4940910;30.62;7.98;958
97.75;36.11;7.92;35.00;-12.9085493;-38.4943199;29.96;7.95;821
97.85;36.52;7.82;36.00;-12.9081392;-38.4945793;29.71;8.10;863
97.75;36.49;7.82;37.00;-12.9077596;-38.4948310;29.91;8.03;848
97.75;36.42;7.82;38.00;-12.9073400;-38.4951095;29.76;8.09;906
97.56;36.89;7.72;38.00;-12.9069089;-38.4953308;29.48;8.19;911
97.56;36.13;7.72;39.00;-12.9064588;-38.4954872;29.32;8.34;634
97.65;35.48;7.53;38.00;-12.9060306;-38.4956283;29.12;8.39;716
96.87;35.99;7.53;38.00;-12.9055805;-38.4957695;29.08;8.57;778
97.46;36.31;7.43;39.00;-12.9050893;-38.4958343;28.95;8.75;695
97.36;36.09;7.62;39.00;-12.9046497;-38.4958992;28.89;9.10;830
96.87;35.36;7.62;40.00;-12.9042301;-38.4960403;28.97;9.17;899
96.77;35.31;7.62;40.00;-12.9038190;-38.4961509;28.86;9.20;910
97.07;34.67;7.62;41.00;-12.9034090;-38.4963302;28.96;9.27;879
97.85;34.37;7.82;42.00;-12.9029998;-38.4965171;28.85;9.24;587
97.85;33.58;7.72;43.00;-12.9026098;-38.4966316;28.90;9.02;1014
97.85;32.83;7.72;44.00;-12.9021682;-38.4966697;28.84;8.89;693
97.85;33.63;7.72;46.00;-12.9017896;-38.4967994;28.89;8.89;923
97.85;33.76;7.72;48.00;-12.9014081;-38.4969253;29.01;8.99;897
97.85;34.09;7.62;49.00;-12.9010000;-38.4970817;28.87;9.09;910
97.95;34.68;7.63;50.00;-12.9005804;-38.4972000;28.96;9.20;871
97.85;34.76;7.73;50.00;-12.9001693;-38.4973297;28.84;9.27;703
97.95;33.75;7.63;50.00;-12.8997793;-38.4974517;29.05;9.36;892
97.95;34.05;7.63;50.00;-12.8993597;-38.4975395;28.98;9.46;775
97.95;34.14;7.63;50.00;-12.8989400;-38.4976692;29.09;9.42;836
97.95;34.36;7.63;50.00;-12.8985290;-38.4977760;28.93;9.44;854
98.14;34.03;7.53;50.00;-12.8981294;-38.4978981;28.97;9.35;863
97.85;34.37;7.44;50.00;-12.8977098;-38.4980392;28.57;9.25;847
97.95;34.39;7.62;50.00;-12.8973588;-38.4981994;28.66;8.91;783
98.04;34.53;7.62;49.00;-12.8970308;-38.4984283;28.54;8.77;517
98.04;34.77;7.43;49.00;-12.8967103;-38.4986495;28.70;8.67;654
98.04;34.96;7.53;49.00;-12.8963899;-38.4988861;28.52;8.64;646
98.04;34.53;7.53;49.00;-12.8960895;-38.4991683;28.50;8.60;980
98.14;34.26;7.43;49.00;-12.8957901;-38.4994888;28.53;8.62;764
98.63;33.98;7.43;49.00;-12.8955001;-38.4997787;28.54;8.60;763
98.44;34.13;7.53;49.00;-12.8952302;-38.5000991;28.56;8.60;807
98.14;34.71;7.53;49.00;-12.8949384;-38.5003967;28.60;8.61;765
98.04;34.87;7.43;49.00;-12.8946704;-38.5005912;28.54;8.59;788
98.04;35.15;7.43;47.00;-12.8944396;-38.5007705;28.50;8.56;877
98.44;34.42;7.33;47.00;-12.8942384;-38.5009384;28.68;8.59;905
98.14;34.40;7.33;47.00;-12.8940801;-38.5010910;28.64;8.54;778
98.04;34.92;7.23;47.00;-12.8939695;-38.5012588;28.66;8.51;432
97.95;34.98;7.23;46.00;-12.8938493;-38.5014686;28.69;8.50;748
97.95;34.72;7.33;45.00;-12.8937196;-38.5016899;28.74;8.48;1018
97.85;34.72;7.33;45.00;-12.8935794;-38.5019111;28.70;8.51;749
97.85;34.63;7.23;45.00;-12.8934392;-38.5021400;28.82;8.48;759
97.75;34.61;7.33;45.00;-12.8932895;-38.5023765;28.69;8.47;831
97.85;34.31;7.23;45.00;-12.8931503;-38.5026054;28.84;8.48;800
97.95;34.18;7.23;45.00;-12.8930082;-38.5028495;28.80;8.42;923
98.04;34.19;7.23;45.00;-12.8928699;-38.5030326;28.83;8.47;889
98.04;34.41;7.33;46.00;-12.8927383;-38.5032310;28.78;8.44;902
98.04;34.59;7.33;47.00;-12.8926086;-38.5034179;28.84;8.43;833
98.24;34.46;7.43;47.00;-12.8924703;-38.5035972;28.64;8.38;909
98.04;34.48;7.33;47.00;-12.8923406;-38.5037956;28.64;8.33;804
98.04;34.41;7.23;47.00;-12.8922491;-38.5040397;28.59;8.37;785
98.44;34.59;7.23;47.00;-12.8921604;-38.5043106;28.60;8.39;896
98.63;34.93;7.14;47.00;-12.8920993;-38.5045585;28.62;8.38;719
98.73;35.35;7.14;46.00;-12.8920488;-38.5048408;28.59;8.34;900
98.73;35.33;7.43;46.00;-12.8919696;-38.5051193;28.65;8.33;875
98.73;34.65;7.33;44.00;-12.8919095;-38.5054168;28.62;8.34;822
98.73;34.61;7.14;43.00;-12.8918199;-38.5057106;28.62;8.33;653
98.83;34.81;7.23;43.00;-12.8917493;-38.5060195;28.51;8.33;932
98.83;34.82;7.14;43.00;-12.8916883;-38.5063095;28.65;8.33;985
98.92;34.86;7.14;43.00;-12.8916006;-38.5066299;28.64;8.30;951
98.83;34.48;7.23;43.00;-12.8914995;-38.5069503;28.62;8.31;697
98.34;34.23;7.33;43.00;-12.8913593;-38.5072212;28.57;8.31;917
98.44;34.19;7.33;43.00;-12.8912096;-38.5075263;28.57;8.30;824
98.34;34.70;7.23;44.00;-12.8910703;-38.5078392;28.70;8.31;860
99.02;34.49;7.23;45.00;-12.8909292;-38.5081443;28.89;8.29;786
99.12;35.54;7.23;44.00;-12.8908300;-38.5084800;28.77;8.30;798
98.92;35.77;7.23;43.00;-12.8907194;-38.5088005;28.91;8.31;851
98.34;34.78;7.14;42.00;-12.8905897;-38.5091285;28.89;8.30;987
98.34;34.30;7.33;42.00;-12.8904085;-38.5094184;28.92;8.32;920
98.34;33.80;7.14;42.00;-12.8902692;-38.5097503;28.93;8.30;718
98.83;33.77;7.14;43.00;-12.8901901;-38.5101013;28.98;8.31;858
98.92;34.69;7.33;44.00;-12.8900985;-38.5104217;28.84;8.30;855
98.44;34.48;7.33;43.00;-12.8899688;-38.5107841;28.86;8.30;786
99.12;35.66;7.23;44.00;-12.8897800;-38.5110664;28.78;8.28;916
99.12;36.95;7.33;44.00;-12.8896894;-38.5113906;28.78;8.28;980
99.22;37.29;7.43;43.00;-12.8895597;-38.5117378;28.80;8.24;747
99.02;36.73;7.43;40.00;-12.8893995;-38.5120773;28.88;8.22;873
99.12;37.38;7.53;39.00;-12.8892593;-38.5124206;28.70;8.21;787
99.22;38.43;7.43;38.00;-12.8891391;-38.5127677;28.98;8.21;825
99.22;39.42;7.53;37.00;-12.8890399;-38.5131034;28.78;8.20;858
99.12;39.51;7.53;37.00;-12.8889789;-38.5134086;28.98;8.17;905
99.12;40.03;7.43;36.00;-12.8888998;-38.5137062;28.87;8.25;862
99.12;40.00;7.33;34.00;-12.8888492;-38.5140190;28.86;8.25;1014
98.92;39.44;7.23;32.00;-12.8887701;-38.5143203;28.89;8.24;977
99.02;39.62;7.43;32.00;-12.8886890;-38.5146713;28.85;8.29;846
98.92;39.49;7.43;32.00;-12.8886098;-38.5150146;28.88;8.29;843
98.34;39.11;7.72;31.00;-12.8885698;-38.5153617;28.84;8.28;359
98.34;38.46;7.53;31.00;-12.8885107;-38.5157012;28.78;8.29;776
98.53;37.99;7.53;31.00;-12.8884296;-38.5160484;28.79;8.28;712
98.34;37.16;7.53;33.00;-12.8882703;-38.5163917;28.89;8.30;937
98.53;36.76;7.53;34.00;-12.8881502;-38.5167465;28.86;8.27;838
98.92;37.24;7.43;34.00;-12.8880481;-38.5171165;29.06;8.28;802
98.53;37.19;7.43;35.00;-12.8879594;-38.5174179;28.96;8.29;847
98.34;36.86;7.33;36.00;-12.8878297;-38.5177307;29.09;8.27;905
98.53;36.33;7.53;36.00;-12.8877401;-38.5180397;29.01;8.26;790
98.44;35.53;7.33;37.00;-12.8876600;-38.5183486;29.12;8.29;847
98.24;35.21;7.14;38.00;-12.8875684;-38.5186805;29.13;8.28;838
98.14;35.12;7.23;38.00;-12.8874692;-38.5189895;29.06;8.29;921
98.14;34.92;7.14;39.00;-12.8873796;-38.5192871;28.84;8.30;874
98.04;34.86;6.94;40.00;-12.8872594;-38.5195884;29.01;8.32;111
98.04;34.84;7.14;41.00;-12.8871097;-38.5199089;28.87;8.31;830
98.14;34.81;7.14;41.00;-12.8869800;-38.5202369;28.86;8.31;823
98.14;34.55;7.14;41.00;-12.8868894;-38.5205497;28.89;8.28;826
97.95;33.99;7.23;42.00;-12.8867998;-38.5208702;28.83;8.29;474
97.95;33.60;7.23;43.00;-12.8866987;-38.5211753;28.76;8.31;869
97.65;33.45;7.14;43.00;-12.8866090;-38.5215187;28.83;8.31;821
